CellName,Area,Leakage,Expression
INV_X1,0.532000,14.353185,!A
NAND2_X1,0.798000,17.393360,!(A1 & A2)
NAND3_X1,1.064000,18.104768,!(A1 & A2 & A3)
NAND4_X1,1.330000,18.126843,!(A1 & A2 & A3 & A4)
NOR2_X1,0.798000,21.199545,!(A1 | A2)
NOR3_X1,1.064000,26.831667,!(A1 | A2 | A3)
NOR4_X1,1.330000,32.601474,!(A1 | A2 | A3 | A4)
AND2_X1,1.064000,25.066064,A1 & A2
AND3_X1,1.330000,26.481460,A1 & A2 & A3
OR2_X1,1.064000,22.694975,A1 | A2
OR3_X1,1.330000,24.414625,A1 | A2 | A3
XOR2_X1,1.596000,36.163718,A ^ B
XNOR2_X1,1.596000,36.441009,!(A ^ B)
MUX2_X1,1.862000,35.928390,S & B | A & !S
AOI22_X1,1.330000,32.611944,!(A1 & A2 | B1 & B2)
OAI22_X1,1.330000,34.026125,!((A1 | A2) & (B1 | B2))
