HexFunc,Frequency,Rank
1111,25442,1
E0E0,11396,2
0101,8496,3
E1E1,7694,4
4F00,7126,5
0777,5832,6
6969,5342,7
1E00,5276,8
4444,5004,9
7070,4570,10
8F70,4088,11
8888,3930,12
9696,3920,13
B2B2,3798,14
E8E8,3514,15
EF10,3436,16
0100,2464,17
010E,2068,18
8000,1704,19
D0D0,1372,20
1010,1176,21
0E0E,1144,22
B0BB,1048,23
0001,1014,24
3535,892,25
1000,848,26
9999,788,27
8080,772,28
1717,712,29
2B2B,652,30
4040,612,31
0BBB,582,32
0B0B,516,33
00EF,504,34
4000,428,35
0707,410,36
F800,408,37
D4D4,400,38
1414,344,39
1117,330,40
0D00,322,41
1001,310,42
00BF,280,43
ACFF,252,44
5353,248,45
6666,246,46
CACA,246,47
FAFC,244,48
4B4B,244,49
FCFA,200,50
CAFF,192,51
000B,174,52
F400,170,53
000D,168,54
0D0D,146,55
6996,146,56
D4DD,132,57
35FF,130,58
F3F5,130,59
533F,126,60
00FE,126,61
F53F,124,62
333A,114,63
8778,74,64
1777,68,65
00F4,64,66
A3A3,64,67
0000,58,68
0B00,46,69
001F,46,70
00F1,32,71
1800,22,72
EEE0,20,73
1400,18,74
9000,16,75
3A33,14,76
4200,12,77
8F00,10,78
F5CF,8,79
EE0F,8,80
8100,8,81
88F0,6,82
F0EE,4,83
700F,2,84
4FB0,904,85
7171,386,86
0700,264,87
00F8,256,88
7077,236,89
3F6A,212,90
1EE1,204,91
0E01,196,92
E11E,178,93
0EE0,164,94
FCA9,164,95
F10E,160,96
1E1E,144,97
222B,134,98
8EE8,128,99
3335,126,100
